nasa_yuwe,nasa_yuwe_raw,spanish,english,pos,semantic_domain,notes,sources,n_sources
ñu'py le'ch,ñu'py le'ch,agutí,agouti,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as",living_dictionaries,1
ñu'py le'chcue,ñu'py le'chcue,"agutí, guatín (mamífero roedor)",,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as",living_dictionaries,1
ñu'py le'chcué,ñu'py le'chcué,agutí,,,,,paper_2024,1
ñu'py le'chcuẽ,ñu'py le'chcuẽ,agutí (m),,,,,broomva_validation,1
ñu'py wala,ñu'py wala,"guagua, paca (mamífero roedor)","paca, bale, bus,",n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","broomva_test,broomva_train,living_dictionaries,paper_2024",4
ñu'wẽ- (yũ'wẽ-,ñu'wẽ- (yũ'wẽ-),tener sed,,verb intransitive,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as",living_dictionaries,1
ñucue,ñucue,el tío (hermano del papá),,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
ñujne,ñujne,la sala,,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","broomva_validation,living_dictionaries,paper_2024,swarthmore_talking",4
ñun (yũn,ñun (yũn),la fruta,,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
"ñun, ú'nisa","ñun, ú'nisa",fruta,,,,,paper_2024,1
"ñun, ũ'nisa","ñun, ũ'nisa",fruta (f),,,,,broomva_train,1
ñun-,ñun-,dar fruto (v.i),,,,,"broomva_train,paper_2024",2
"ñun-, ñunu- (yũn-","ñun-, ñunu- (yũn-)","dar fruto, cargar",,verb transitive,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
ñunda (yunda,ñunda (yunda),"pajonal, sabana",,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
ñunda alcu,ñunda alcu,zorro perro,,,,,paper_2024,1
ñunda alcu (t,ñunda alcu (T),el zorro (mamífero),,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","broomva_train,living_dictionaries,swarthmore_talking",3
"ñunda, yunda","ñunda, yunda",pajonal (m),,,,,"broomva_validation,paper_2024",2
ñunz (yujnz,ñunz (yujnz),la aguja,,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
ñunz cafy,ñunz cafy,el ojo de la aguja,,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
ñunz vits,ñunz vits,la punta de la aguja,,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
"ñunz, yujnz","ñunz, yujnz",aguja (f),,,,,"broomva_test,paper_2024",2
ñus (yũs,ñus (yũs),triste,,adv,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
ñus cnay-,ñus cnay-,experimentar tristeza,,verb transitive,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","broomva_train,living_dictionaries,paper_2024,swarthmore_talking",4
ñus pa'jni ícj,ñus pa'jni ícj,diluvio,,,,,paper_2024,1
ñus pa'jni īcj,ñus pa'jni īcj,diluvio (m),,,,,broomva_train,1
ñus pu'ch-,ñus pu'ch-,"condolerse, compartir la flicción de otro",,verb transitive,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","broomva_train,living_dictionaries,paper_2024",3
ñus pu’ch-,ñus pu’ch-,"condolerse, compartir la flicción de otro",,verb transitive,,"Hablante: Gerdel and Slocum, 1983.",swarthmore_talking,1
ñus píi-,ñus píi-,escampar,,,,,paper_2024,1
ñus pīi-,ñus pīi-,escampar (v.impers),,,,,broomva_train,1
ñus wala,ñus wala,aguacero (m),,,,,"broomva_train,paper_2024",2
ñus we'we-,ñus we'we-,lamentar (v.t),,,,,"broomva_train,paper_2024",2
ñus wejya dyi'j,ñus wejya dyi'j,tempestad,,,,,paper_2024,1
ñus wejya dyi'j (lit. lluvia viento camino,ñus wejya dyi'j (lit. lluvia viento camino),tempestad (f),,,,,broomva_test,1
ñus yajcy-,ñus yajcy-,sentir triste (v.t),,,,,"broomva_train,paper_2024",2
"ñus, yús","ñus, yús",triste,,,,,paper_2024,1
"ñus, yũs","ñus, yũs",triste (adj),,,,,broomva_train,1
"ñus-, ñusu- (yũs-","ñus-, ñusu- (yũs-)","estar triste, entristecerse, afligirse",,verb intransitive,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
ñusha,ñusha,dulce (sabor),,adj,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","broomva_train,living_dictionaries,paper_2024,swarthmore_talking",4
ñusha beca,ñusha beca,"el guarapo, chicha de caña de azúcar",sugar cane liquor,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","broomva_test,broomva_train,living_dictionaries,paper_2024,swarthmore_talking",5
ñusha beca pus,ñusha beca pus,guarapo (fermentado),,,,,"broomva_train,paper_2024",2
ñusha cja'ty,ñusha cja'ty,bagazo,,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","broomva_train,living_dictionaries,paper_2024",3
ñusha cja’ty,ñusha cja’ty,bagazo,,sustantivo,,Hablante: Francy Yanet,swarthmore_talking,1
ñusha cu'nd-,ñusha cu'nd-,moler caña (v.t),,,,,"broomva_train,paper_2024",2
ñusha ej,ñusha ej,cañaduzal,,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","broomva_train,living_dictionaries,paper_2024,swarthmore_talking",4
ñusha jypa'gasa,ñusha jypa'gasa,el que recibe cañaen el trapiche,,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as",living_dictionaries,1
ñusha jypa’gasa,ñusha jypa’gasa,el que recibe cañaen el trapiche,,sustantivo,,Hablante: Francy Yanet,swarthmore_talking,1
ñusha mil,ñusha mil,miel de caña,,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","broomva_train,living_dictionaries,paper_2024,swarthmore_talking",4
ñusha puutssa,ñusha puutssa,el que mete la caña en el otro lado del trapiche,,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
ñusha tel,ñusha tel,el trapiche de mano,,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","broomva_train,living_dictionaries,paper_2024,swarthmore_talking",4
ñusha'j-,ñusha'j-,endulzar (v.t),,,,,"broomva_train,paper_2024",2
"ñusha'j-, ñusha'ja-","ñusha'j-, ñusha'ja-",endulzar,,verb transitive,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as",living_dictionaries,1
"ñusha’j-, ñusha’ja-","ñusha’j-, ñusha’ja-",endulzar,,verb transitive,,Hablante: Francy Yanet,swarthmore_talking,1
ñusna ũs-,ñusna ũs-,estar triste,,verb intransitive,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
ñuspa,ñuspa',"agradable, apetecible",,adv,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","broomva_train,living_dictionaries,paper_2024",3
ñuspa’,ñuspa’,"agradable, apetecible",,adverbio,,"Hablante: Gerdel and Slocum, 1983.",swarthmore_talking,1
ñussa,ñussa,"la tristeza, angustia",,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
ñusu en,ñusu en,la desgracia,,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","broomva_train,living_dictionaries,paper_2024,swarthmore_talking",4
"ñusu en, ñuswa'ja","ñusu en, ñuswa'ja'",tristeza (f),,,,,"broomva_train,paper_2024",2
ñusu-,ñusu-,afligirse (v.r),,,,,"broomva_validation,paper_2024",2
ñusñus,ñusñus,muy triste,,adv,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
"ñusñus, yúsyús","ñusñus, yúsyús",tristemente,,,,,paper_2024,1
"ñusñus, yũsyũs","ñusñus, yũsyũs",tristemente (adv),,,,,broomva_train,1
ñuty,ñuty,moco,,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","broomva_train,living_dictionaries,paper_2024,swarthmore_talking",4
ñutyji-,ñutyji-,moquear,,verb intransitive,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","broomva_train,living_dictionaries,paper_2024,swarthmore_talking",4
ñuwe,ñuwe,el palo del telar (lanzadera),,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","broomva_test,living_dictionaries,paper_2024,swarthmore_talking",4
ñu’py le’ch,ñu’py le’ch,agutí,,sustantivo,,"Hablante: Gerdel and Slocum, 1983.",swarthmore_talking,1
ñu’py le’chcue,ñu’py le’chcue,"agutí, guatín (mamífero roedor)",,sustantivo,,"Hablante: Gerdel and Slocum, 1983.",swarthmore_talking,1
ñu’py wala,ñu’py wala,"paca, guagua",,sustantivo,,"Hablante: Gerdel and Slocum, 1983.",swarthmore_talking,1
ñu’wẽ- (yũ’wẽ-,ñu’wẽ- (yũ’wẽ-),tener sed,,verb intransitive,,"Hablante: Gerdel and Slocum, 1983.",swarthmore_talking,1
ú,ú',comida,,,,,paper_2024,1
ú' jyaw yat,ú' jyaw yat,granero,,,,,paper_2024,1
ú' pcjacj-,ú' pcjacj-,cosechar,,,,,paper_2024,1
ú'-,ú'-,comer,,,,,paper_2024,1
ú'cj cuet,ú'cj cuet,piedra,,,,,paper_2024,1
ú'cj-,ú'cj-,moler,,,,,paper_2024,1
ú'cjni,ú'cjni,molido,,,,,paper_2024,1
ú'cue jíi,ú'cue jíi,mí a,,,,,paper_2024,1
"ú'nacjé, jú'nacjé","ú'nacjé, jú'nacjé",anteayer,,,,,paper_2024,1
ú'ne pety cjacj,ú'ne pety cjacj,llanto,,,,,paper_2024,1
ú'ne-,ú'ne-,llorar,,,,,paper_2024,1
ú'nisa,ú'nisa,comestible,,,,,paper_2024,1
ú'tsj-,ú'tsj-,cepillar,,,,,paper_2024,1
ú'we-,ú'we-,picar,,,,,paper_2024,1
ú'wé,ú'wé,harina,,,,,paper_2024,1
ú-,ú-,alimento,,,,,paper_2024,1
úch-,úch-,defecar,,,,,paper_2024,1
úchi'ch wee,úchi'ch wee,diarrea,,,,,paper_2024,1
úchja-,úchja-,apagarse,,,,,paper_2024,1
újpa-,újpa-,estallar,,,,,paper_2024,1
újt-,újt-,mojarse,,,,,paper_2024,1
újusa's ya'newe'wen'i's ma'wesapa hi'puwa,újusa's ya'newe'wen'i's ma'wesapa hi'puwa',tener cualquier forma de invocación,,,,,"broomva_train,paper_2024",2
"úpatel, scupeta","úpatel, scupeta",escopeta,,,,,paper_2024,1
úpj-,úpj-,fugarse,,,,,paper_2024,1
ús quiwe,ús quiwe,"lugar habitual, patria",,,,,paper_2024,1
ús-,ús-,conceder,,,,,paper_2024,1
úshi'ndy,úshi'ndy,mezquino,,,,,paper_2024,1
"úshi'ndy, úchji'ndy","úshi'ndy, úchji'ndy",tacaño,,,,,paper_2024,1
úshi'ndy-,úshi'ndy-,mezquinar,,,,,paper_2024,1
"úshi'ndy- , sendy-","úshi'ndy- , sendy-",ser mezquino,,,,,paper_2024,1
úshi-,úshi-,desparramarse,,,,,paper_2024,1
úsu-,úsu-,dar,,,,,paper_2024,1
úsya' neeyúu-,úsya' neeyúu-,prometer,,,,,paper_2024,1
útj,útj,batata,,,,,paper_2024,1
úu,úu,sí,,,,,paper_2024,1
úuchcue,úuchcue,un rato,,,,,paper_2024,1
úuchi-,úuchi-,disminuir,,,,,paper_2024,1
úucj yajcy-,úucj yajcy-,atemorizarse,,,,,paper_2024,1
úucj-,úucj-,asustarse,,,,,paper_2024,1
"úucjúucj, úucjúucjsa","úucjúucj, úucjúucjsa",espantoso,,,,,paper_2024,1
úucjúucja,úucjúucja',peligroso,,,,,paper_2024,1
úus,úus,alma,,,,,paper_2024,1
úus chjáchjasa,úus chjáchjasa,valiente,,,,,paper_2024,1
úus yaacyni,úus yaacyni,pensamiento,,,,,paper_2024,1
úus úpjúpj-,úus úpjúpj-,latir,,,,,paper_2024,1
"úusacha-, úuscha-","úusacha-, úuscha-",enojarse,,,,,paper_2024,1
úuscha yajcy-,úuscha yajcy-,incomodarse,,,,,paper_2024,1
úuschani,úuschani,enojo,,,,,paper_2024,1
úusdyi'j-,úusdyi'j-,suspirar,,,,,paper_2024,1
úuse'se-,úuse'se-,jadear,,,,,paper_2024,1
úuseni,úuseni,respiración,,,,,paper_2024,1
úuseweete,úuseweete,aliento,,,,,paper_2024,1
úuspa'-,úuspa'-,asfixiarse,,,,,paper_2024,1
úuste thaamewa' hipme,úuste thaamewa' hipme,sin vergúenza en el alma,,,,,"broomva_train,paper_2024",2
úuste wét úswa'ja,úuste wét úswa'ja',paz,,,,,paper_2024,1
úusutjeni,úusutjeni,conciencia,,,,,paper_2024,1
úusée-,úusée-,respirar,,,,,paper_2024,1
úytjas-,úytjas-,esperar,,,,,paper_2024,1
"ĩ'cj-, ĩ'cje-","ĩ'cj-, ĩ'cje-",ver visiones,,verb transitive,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as",living_dictionaries,1
ĩ'née,ĩ'née,"en vano, sin motivo, de nada",,adv,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as",living_dictionaries,1
"ĩ'pjy-, ĩ'pji-","ĩ'pjy-, ĩ'pji-",cargar a cuestas,,verb transitive,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as",living_dictionaries,1
ĩchj,ĩchj,flaco,,adj,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
ĩchjíi-,ĩchjíi-,"enflaquecerse, delilitarse",,verb intransitive,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
ĩcj,ĩcj,"el charco, lago",,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
ĩcj wala,ĩcj wala,el mar,,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
ĩcj-ĩcje-,ĩcj-ĩcje-,llegar de un viaje,,verb intransitive,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
ĩcjwe'sh,ĩcjwe'sh,la visiones,,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as",living_dictionaries,1
ĩcjwe’sh,ĩcjwe’sh,la visiones,,sustantivo,,"Hablante: Gerdel and Slocum, 1983.",swarthmore_talking,1
"ĩcy-, ĩqui-","ĩcy-, ĩqui-","regañar, reprender",,verb transitive,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
ĩcywe'we-,ĩcywe'we-,"regañar, censurar",,verb transitive,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as",living_dictionaries,1
ĩcywe'weni,ĩcywe'weni,regaño,,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as",living_dictionaries,1
ĩcywe’we-,ĩcywe’we-,"regañar, censurar",,verb transitive,,"Hablante: Gerdel and Slocum, 1983.",swarthmore_talking,1
ĩcywe’weni,ĩcywe’weni,regaño,,sustantivo,,"Hablante: Gerdel and Slocum, 1983.",swarthmore_talking,1
"ĩicja'j-, ĩicja'ja-","ĩicja'j-, ĩicja'ja-",hacer estanque,,verb transitive,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as",living_dictionaries,1
"ĩicja’j-, ĩicja’ja-","ĩicja’j-, ĩicja’ja-",hacer estanque,,verb transitive,,"Hablante: Gerdel and Slocum, 1983.",swarthmore_talking,1
ĩish,ĩish,"viejo (referiendo a hombre, o a cosa)",,adj,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
"ĩish-, ĩishi-","ĩish-, ĩishi-",envejecerse (hombre o cosa),,verb intransitive,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
ĩishi,ĩishi,abuelo,,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
ĩishweete,ĩishweete,la vejez (refiriendo a un hombre),,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
ĩits,ĩits,maduro,,adj,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
"ĩits-, ĩitsúu-","ĩits-, ĩitsúu-",madurarse,,verb intransitive,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
"ĩitse'j-, ĩitse'je-","ĩitse'j-, ĩitse'je-",cocer,,verb transitive,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as",living_dictionaries,1
ĩitse'jni,ĩitse'jni,cocido,,past participle,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as",living_dictionaries,1
ĩitse'jsa,ĩitse'jsa,la cocinera,,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as",living_dictionaries,1
"ĩitse’j-, ĩitse’je-","ĩitse’j-, ĩitse’je-",cocer,,verb transitive,,Hablante: Francy Yanet,swarthmore_talking,1
ĩitse’jni,ĩitse’jni,cocido,,past participle,,Hablante: Francy Yanet,swarthmore_talking,1
ĩitse’jsa,ĩitse’jsa,la cocinera,,sustantivo,,"Hablante: Gerdel and Slocum, 1983.",swarthmore_talking,1
ĩiwẽet-ĩiwẽetúu-,ĩiwẽet-ĩiwẽetúu-,sanarse,,verb intransitive,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
"ĩjpa-, ĩipa-","ĩjpa-, ĩipa-",dispararse,,verb reflexive,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
ĩquĩ,ĩquĩ,crudo,,adj,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
ĩshiimée,ĩshiimée,verdaderamente,,adj,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
ĩshiini,ĩshiini,la mentira,,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
ĩshiisa,ĩshiisa,menitroso,,n,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
ĩshíi-ĩshiija-,ĩshíi-ĩshiija-,menitr,,verb transitive,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.as","living_dictionaries,swarthmore_talking",2
